event_id,ticker,event_date,entry_date,beta_source,alpha,beta,n_est_obs,vol_z,tone_z,direction,CAR_t1,CAR_t5,CAR_t20,AR_d1,AR_d2,AR_d3,AR_d4,AR_d5,AR_d6,AR_d7,AR_d8,AR_d9,AR_d10,AR_d11,AR_d12,AR_d13,AR_d14,AR_d15,AR_d16,AR_d17,AR_d18,AR_d19,AR_d20
IDFCFIRSTB_2024-04-29,IDFCFIRSTB,2024-04-29,2024-04-30,market_model,-0.002961199229299815,1.28258819916781,120,4.531231133687052,0.4217941422222862,1.0,-0.006826630668712208,-0.033314169913758115,0.008210142197112608,-0.006826630668712208,0.004756322896388757,-0.005707986428122387,-0.01686893287568611,-0.00866694283762617,0.008558693922282945,0.006453530256904849,0.007930841967648528,0.0009012628328220452,-0.003811784945844043,-0.006781774918513079,0.0013472478250173493,0.0026054467242093535,-0.0048277635343036,-0.006262431908564126,-0.0009439105932192221,0.016491582653546714,-0.003498941384623017,0.002966745382567436,0.020395567830938592
IDFCFIRSTB_2024-05-21,IDFCFIRSTB,2024-05-21,2024-05-22,market_model,-0.002089086742491524,1.2150821735625768,120,4.165189398476118,0.1539595886122601,1.0,-0.0060386427905745575,0.004711064665944332,0.07391310733206428,-0.0060386427905745575,-0.0018470408350179535,0.015546946025479319,-0.004501582008683251,0.0015513842747407747,0.018878019280880717,-0.015120915970494711,-0.014815428077125228,0.002645969628344083,0.02467560691878283,-0.008662911774662975,-0.01680741557305722,0.0015145858868780043,0.0015360306575466951,0.0030498613066404184,-0.006498194428709483,0.00557754410252365,0.04072231199404543,0.012930293630125211,0.019576685084402523
IDFCFIRSTB_2024-07-04,IDFCFIRSTB,2024-07-04,2024-07-05,market_model,-0.002055779069797736,1.1577972921605957,120,4.1115310236426215,0.2597925938083197,1.0,-0.015557103914893889,-0.034804871849691096,-0.06603202307166639,-0.015557103914893889,-0.010466617285217389,-0.0052320249311611266,0.0025882428018069435,-0.006137368520225636,-0.00333881344729269,-0.00187255175060276,-0.00944476861415765,-0.007646411714525599,0.023520195456548713,-0.00948884870219985,-0.007056447879151967,-0.010898313246667065,-0.020520879676242477,0.0066856915517868355,0.01710852673664317,-0.0029651373665330106,-0.00864050783162484,0.0012795292724502635,0.002051585989593638
IDFCFIRSTB_2024-08-26,IDFCFIRSTB,2024-08-26,2024-08-27,market_model,-0.002122642343742048,1.054027460793901,120,3.1093160674488383,-0.1431177780428094,-1.0,-0.005926006202141809,0.006176647624043849,-0.007860842356675795,-0.005926006202141809,-0.013734779482641693,0.006905714916426104,0.016057536018914322,0.002874182373486924,-9.882252073491107e-05,0.009577777977279541,-0.004086843008424417,-0.015664046289143915,-0.0027068506258895145,-0.00755217981758691,-0.00026478459416995337,0.01236122407431108,0.005339506999139088,-0.005579054353979941,-0.0028850071402954343,0.014586312066446618,-0.026823309750359268,0.012294606165237202,-0.002536019162548911
IDFCFIRSTB_2024-10-28,IDFCFIRSTB,2024-10-28,2024-10-29,market_model,-0.001754750535475689,1.006651358588588,120,6.029070734211274,-0.4231138169992319,-1.0,0.024402645278745264,-7.2892692364965456e-06,0.0074251632634806004,0.024402645278745264,-0.03509060914672906,0.015981269609190055,-0.005218166251938008,-8.242875850474583e-05,-0.0007302338610421337,0.007981814570537309,-0.009584917178165599,0.016113218636965798,0.007745293625619343,-0.02483522794715572,-0.00042491686666795226,0.0380218981854451,-0.015002401696886752,-0.017344886894780816,-0.0029489570923369526,-0.0036436666997943764,0.010444866815185659,-0.01689960647278074,0.01854017540857493
IDFCFIRSTB_2025-01-27,IDFCFIRSTB,2025-01-27,2025-01-28,market_model,-0.0017914918742645582,0.9094508122423983,120,4.835329442516812,-0.3400583495255371,-1.0,0.01992580601324903,0.059331728751786134,0.0795619089872156,0.01992580601324903,0.021049156531837462,0.024673353245521744,-0.01780186067284498,0.011485273634022884,-0.015065116953735046,0.022729554010058342,0.011662148988819912,0.009098152304444655,-0.009880911044847927,-0.00647216904792223,0.011239427980419544,-0.008498902773837852,-0.008745608321288187,0.01533475425771743,-0.03037068569476851,0.010148630357333297,0.02515535418561451,-0.00551111379826963,-0.0005933342143088424
IDFCFIRSTB_2025-04-02,IDFCFIRSTB,2025-04-02,2025-04-03,market_model,-0.0007239063355496661,1.1515838459340964,120,3.1730683014390446,-0.0145910286244983,-1.0,-0.025026542442687687,0.017539902996578434,0.06214188403999708,-0.025026542442687687,0.015593657452853467,0.006092862365704853,0.03077885960781382,-0.009898933987106019,0.008768118130254864,0.0175696231306736,-0.024528686062013614,0.043745311568862855,0.007103463490957506,0.011474754305775787,-0.007132425067505515,-0.012866931625402473,-0.00670920201454864,0.006816692656673751,-0.030147101185092392,0.020874522328754933,0.006878717510365963,-0.018066117166458215,0.02082124104212024
IDFCFIRSTB_2025-04-17,IDFCFIRSTB,2025-04-17,2025-04-21,market_model,-0.0013956937483171365,1.1888836830143226,120,8.601019411207094,0.5441007278703349,1.0,0.00771083656340364,-0.005083865527225011,0.008783105957077205,0.00771083656340364,0.011897805654128468,-0.006334322736441133,-0.011874796850372793,-0.00648338815794319,0.007477060864975507,-0.029472631441696637,0.021527154467535486,0.007375573311785698,-0.01726976845267624,0.021439822581584042,0.00016490911990101748,0.011319231678382488,-0.0007205110856418548,0.016873289594127917,0.003908600850965937,-0.017356959944944534,0.00023251215839672915,-0.003766821378834052,-0.007864490839559292
IDFCFIRSTB_2025-08-18,IDFCFIRSTB,2025-08-18,2025-08-19,market_model,0.000604171920671812,1.0594193605269828,120,4.96658063211411,1.2257896359705631,1.0,-0.004125738455178271,-0.027701840920903113,-0.01912173420434932,-0.004125738455178271,-0.018564625554828997,0.0027339263742220668,0.0038181596357998336,-0.011563562920917748,-0.0018925805051622589,0.0017204638493390756,0.004710305012624264,0.0092992660580445,0.009279310065560443,0.021538070237622414,0.00421830832518466,-0.006535812556249179,0.012606213452885106,-0.016536228708134176,-0.005422974439844017,-0.010728230079856918,-0.004559719640353044,-0.008737761986541928,-0.0003785223685651455
IDFCFIRSTB_2025-11-06,IDFCFIRSTB,2025-11-06,2025-11-07,market_model,0.0006142580579344812,1.0892093969775254,120,4.359206707132431,-0.4379598826268786,-1.0,-0.007310816577791851,-0.03362344512496747,-0.04893932808872609,-0.007310816577791851,-0.012162211557821235,0.0027157682609543557,-0.020312768200813736,0.003446582950504998,0.0022331032883347156,-0.00744816626854019,-0.012853416445256066,-0.015009249344426077,-0.0030761242018577514,-0.000671557361700624,0.02006876662133184,-0.0012452246643695816,0.0005759674649246486,-0.004697462635216269,0.007729142159746548,0.020988413209309192,-0.015904379629491004,-0.011338902423299607,0.005333207266751598
