ticker,event_date,v,vol_z,tone,tone_z,direction
FEDERALBNK,2024-10-28,9.0,3.00652202648448,1.3119,0.6344736303333405,1.0
FEDERALBNK,2025-01-28,12.0,4.489830376547624,1.6228,0.1628706484129076,1.0
FEDERALBNK,2025-02-05,10.0,3.2149844401167167,1.4704,0.13240657888885637,1.0
FEDERALBNK,2025-02-19,11.0,3.1138132366600604,1.6987,0.33616048197428383,1.0
FEDERALBNK,2025-06-03,15.0,4.328787985603027,1.4418,0.27682767173354744,1.0
FEDERALBNK,2025-08-04,19.0,5.341965806131771,0.853,0.04226160752841851,1.0
FEDERALBNK,2025-08-22,15.0,3.881626718426829,-0.6871,-0.723418573946675,-1.0
FEDERALBNK,2025-10-20,16.0,3.1686917468232867,2.016,0.5101006873996633,1.0
FEDERALBNK,2025-10-24,17.0,3.2144251967581905,1.986,0.4791987751976372,1.0
FEDERALBNK,2025-11-25,16.0,3.157787303381547,-1.562,-1.196708357371574,-1.0
ICICIGI,2023-04-19,14.0,5.660105716609345,0.1838,-0.08574516548104757,-1.0
ICICIGI,2023-05-29,11.0,5.208525261819122,-0.2329,-0.455757079268309,-1.0
ICICIGI,2023-07-19,11.0,6.602473299693338,0.5536,-0.04775576671245066,-1.0
ICICIGI,2023-09-21,6.0,3.031460698233092,4.7304,2.6533542928686296,1.0
ICICIGI,2023-09-24,7.0,3.0473720525723484,1.3386,0.5718250407569019,1.0
ICICIGI,2023-09-28,10.0,4.284897130366728,-0.9431,-0.807537352740071,-1.0
ICICIGI,2024-01-16,6.0,4.5327115721670035,1.4454,0.8025166580665135,1.0
ICICIGI,2024-04-18,12.0,7.151621133745177,1.2999,0.42469640593844016,1.0
ICICIGI,2024-07-04,10.0,4.436586294396759,1.1512,0.45753212730453924,1.0
ICICIGI,2024-07-19,10.0,4.090746278288522,0.0751,-0.1419594645097291,-1.0
ICICIGI,2024-10-18,14.0,13.424838708795845,0.9439,0.34653110638744916,1.0
ICICIGI,2025-01-17,6.0,5.197292253264544,1.2382,0.4149462971839288,1.0
ICICIGI,2025-01-20,6.0,4.750440992529817,1.0338,0.2909583959732585,1.0
ICICIGI,2025-04-15,8.0,6.730085589694189,1.4685,0.908955560640935,1.0
ICICIGI,2025-07-15,6.0,3.2578969765427104,-0.0259,-0.1888063328697648,-1.0
ICICIGI,2025-07-18,12.0,5.955805593003948,1.9434,0.8277064968957946,1.0
ICICIGI,2025-10-15,9.0,4.906160674903109,0.6094,0.05723466111013919,1.0
ICICIGI,2025-12-08,6.0,3.8234530649561864,1.2383,0.2536952271150936,1.0
ICICIGI,2025-12-21,6.0,3.1248973154076314,1.6262,0.46188522480591887,1.0
LTF,2023-05-22,7.0,6.522583648228005,-1.3181,-1.5794476570420357,-1.0
LTF,2023-06-21,6.0,4.443939597152708,0.758,0.5285138945313318,1.0
LTF,2023-07-04,5.0,3.126227331631139,0.5252,0.2797317284931657,1.0
LTF,2023-09-12,5.0,3.689353829476598,-0.9591,-0.9932871907036065,-1.0
LTF,2024-03-19,6.0,7.484203766528892,0.8143,0.45374968202394733,1.0
LTF,2024-04-04,5.0,4.561847974316469,0.1519,-0.21613952125945632,-1.0
LTF,2024-06-13,5.0,5.149589402626757,1.0379,0.9357724766669244,1.0
LICHSGFIN,2024-09-25,6.0,25.806735200318307,-0.1066,-0.7389654973715051,-1.0
M&MFIN,2023-08-09,6.0,7.762242398251651,3.7641,2.6418602215708606,1.0
M&MFIN,2023-09-02,9.0,9.050636040569387,0.0884,-0.38007446387778415,-1.0
M&MFIN,2024-04-03,17.0,22.236106773543877,-0.0735,-0.3591497442632769,-1.0
M&MFIN,2024-04-23,8.0,3.8107964061474178,-0.5071,-0.5623441319494635,-1.0
M&MFIN,2024-07-15,6.0,3.1801943908566903,1.3569,0.6329712965380356,1.0
M&MFIN,2024-07-31,6.0,3.224192980846505,1.5148,0.6092619667184802,1.0
M&MFIN,2024-09-10,5.0,3.1936941838069792,1.223,0.6546886257043758,1.0
M&MFIN,2025-01-21,7.0,9.834942814790114,-3.5767,-3.1471577663948413,-1.0
M&MFIN,2025-02-21,6.0,5.742903134783391,0.3629,0.119272988065406,1.0
ASHOKLEY,2024-02-01,7.0,7.962528185596868,-1.0815,-1.1964788163086884,-1.0
BHARATFORG,2023-11-07,5.0,5.1524123206367465,1.4395,0.9457501894626186,1.0
BHARATFORG,2024-02-12,5.0,5.279303721572294,2.0344,1.3359800823609875,1.0
BHARATFORG,2024-03-13,6.0,5.558999207401118,-1.0497,-1.4977783798386481,-1.0
BHARATFORG,2025-10-16,5.0,12.645332018761199,4.6859,3.8686705437924407,1.0
