ticker,event_date,v,vol_z,tone,tone_z,direction,novelty_days,intensity_percentile
COROMANDEL,2023-12-27,5.0,11.093769295046528,-4.1452,-12.440962071362412,-1.0,,93.38842975206612
COROMANDEL,2024-08-19,5.0,10.192620870120708,-0.335,-0.5599500468906289,-1.0,236.0,91.73553719008265
DABUR,2023-05-04,16.0,3.688048455373439,1.7639,0.3106908842255322,1.0,,24.793388429752067
DABUR,2023-07-07,14.0,3.9136320762123926,0.8894,-0.245673460664816,-1.0,64.0,31.40495867768595
DABUR,2023-08-03,17.0,5.3053746077052,2.3728,0.4779920432387038,1.0,27.0,62.396694214876035
DABUR,2023-09-25,18.0,5.97315828819667,0.7705,-0.1227832377885149,-1.0,53.0,70.24793388429752
DABUR,2023-10-19,24.0,7.211605256618795,-4.6118,-2.165606650934309,-1.0,24.0,79.33884297520662
DABUR,2023-11-14,28.0,6.954790221870705,-3.2746,-1.706673671454474,-1.0,26.0,77.68595041322314
DABUR,2024-04-04,14.0,4.3107732059276245,1.4732,0.0390814429647588,1.0,142.0,43.388429752066116
DABUR,2024-05-02,18.0,6.4216277248129865,1.1562,-0.1176212789600555,-1.0,28.0,72.72727272727273
DABUR,2024-06-05,16.0,3.939430989693496,1.3298,-0.0818762973618367,-1.0,34.0,33.057851239669425
DABUR,2024-08-06,14.0,3.090896180370196,-0.0201,-0.365852159397788,-1.0,62.0,5.371900826446281
DABUR,2024-08-22,17.0,3.740422630927873,1.946,0.6541312426679681,1.0,16.0,26.859504132231407
DABUR,2024-10-30,18.0,4.472700988487632,1.574,0.6733763085646567,1.0,69.0,47.107438016528924
DABUR,2025-02-03,11.0,3.0156789531587007,1.0665,0.3991028870683251,1.0,96.0,1.2396694214876034
DABUR,2025-02-21,17.0,5.044645366143882,0.5359,0.2916466085814476,1.0,18.0,56.19834710743802
DABUR,2025-04-03,15.0,4.210090187342878,1.8562,0.8377635820637953,1.0,41.0,42.14876033057851
DABUR,2025-05-07,22.0,7.243644252306858,1.4395,0.5445672958447073,1.0,34.0,79.75206611570248
DABUR,2025-07-03,14.0,3.096179134531848,-4.3961,-2.167300819575736,-1.0,57.0,6.198347107438017
DABUR,2025-07-07,17.0,3.604488249921651,0.8169,0.1495416404814421,1.0,4.0,22.727272727272727
DABUR,2025-08-29,15.0,3.0166260551066006,-0.4225,-0.4777223766476896,-1.0,53.0,1.6528925619834711
DABUR,2025-11-06,15.0,3.62054068787454,-3.6461,-2.5627722917302886,-1.0,69.0,23.553719008264462
DABUR,2026-03-04,11.0,3.985020973202366,0.4578,-0.1601415838791386,-1.0,118.0,33.88429752066116
DABUR,2026-05-07,12.0,5.326232251789247,1.134,0.2873384682716935,1.0,64.0,62.396694214876035
DABUR,2026-06-12,10.0,3.1772048836175517,1.5849,0.5133903370726287,1.0,36.0,11.15702479338843
FEDERALBNK,2023-07-13,18.0,5.865130829439063,0.9231,0.2964574400260729,1.0,,69.42148760330579
FEDERALBNK,2023-09-27,14.0,3.7330142999534,0.7787,0.245012889279354,1.0,76.0,26.446280991735538
FEDERALBNK,2023-10-16,17.0,5.58247468282893,0.2591,-0.0049027249863611,-1.0,19.0,65.2892561983471
FEDERALBNK,2023-12-29,12.0,3.117959478953938,0.8139,0.1165571645860981,1.0,74.0,7.43801652892562
FEDERALBNK,2024-01-16,13.0,4.103186161202436,1.4684,0.4027517752171292,1.0,18.0,36.77685950413223
FEDERALBNK,2024-02-16,19.0,5.369215086411629,0.56,-0.2738148528196426,-1.0,31.0,63.63636363636364
FEDERALBNK,2024-02-19,16.0,3.694918816912215,1.5776,0.205640996441483,1.0,3.0,25.619834710743802
FEDERALBNK,2024-05-02,22.0,5.283286440451733,0.4035,-0.264141658618911,-1.0,73.0,61.98347107438017
FEDERALBNK,2024-10-28,9.0,3.00652202648448,1.3119,0.6344736303333405,1.0,179.0,0.4132231404958678
FEDERALBNK,2025-01-28,12.0,4.489830376547624,1.6228,0.1628706484129076,1.0,92.0,47.5206611570248
